"review_id","timestamp","case_id","reviewer","decision","ai_root_cause","ai_concept_tag","ai_osi_layer","ai_confidence","corrected_root_cause","corrected_concept_tag","corrected_osi_layer","corrected_next_command","notes","provider","model"
"NS-11-20260826T143851","2026-08-26T14:38:51","NS-11","auto-grader","Edited","PC-LAB-4 uses mask 255.255.255.0 while the gateway interface holding 172.16.8.1 is configured with 255.255.252.0. The host's idea of its local subnet is wrong, so some on-link destinations are sent to the router and fail.","addressing","L3","high","With a /24 mask the host believes its local subnet is only 172.16.8.0-172.16.8.255, so traffic to 172.16.9.20 is handed to the default gateway; the router sees the destination as directly connected and issues an ICMP redirect loop, and the reply path is inconsistent. Hosts inside 172.16.8.x still work by coincidence.","addressing","L3","ipconfig /all","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-12-20260826T143851","2026-08-26T14:38:51","NS-12","auto-grader","Accepted","10.10.50.10 is configured on more than one device (SRV-WEB, SRV-PRINT). Both answer ARP, the ARP cache flaps between their MAC addresses and roughly half of all sessions land on the wrong host.","addressing","L3","medium","10.10.50.10 is configured on more than one device (SRV-WEB, SRV-PRINT). Both answer ARP, the ARP cache flaps between their MAC addresses and roughly half of all sessions land on the wrong host.","addressing","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-13-20260826T143851","2026-08-26T14:38:51","NS-13","auto-grader","Edited","R1 GigabitEthernet0/0.20 carries a client subnet but has no ip helper-address, while GigabitEthernet0/0.10 on the same router does. DHCP DISCOVER is a broadcast and cannot cross a router without a relay, so clients on GigabitEthernet0/0.20 never reach the DHCP server.","dhcp","L3","high","DHCP DISCOVER is a broadcast and does not cross a router. VLAN 10 has a helper-address configured so its broadcasts are relayed as unicast to 192.168.100.50, but VLAN 20 does not, so no request ever reaches the server and clients fall back to APIPA.","dhcp","L3","show running-config | section interface GigabitEthernet0/0","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-14-20260826T143851","2026-08-26T14:38:51","NS-14","auto-grader","Edited","Pool LAB30 hands out addresses from 192.168.20.0/24 but advertises default-router 192.168.30.1, which is not inside that network. Clients receive an address and a gateway that cannot reach each other.","dhcp","L3","high","The pool network does not match the subnet of the SVI/subinterface it serves, so clients in VLAN 30 receive a 192.168.20.x address while being told to use gateway 192.168.30.1, which is not in their own subnet. The address and gateway are mutually unreachable.","dhcp","L3","show running-config | section dhcp","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-15-20260826T143851","2026-08-26T14:38:51","NS-15","auto-grader","Accepted","Every usable address in the pool is allocated, so newly booting clients get no offer and fall back to APIPA. Existing hosts keep their unexpired leases, which makes the failure look intermittent. Check the excluded-address ranges before widening the subnet.","dhcp","L3","high","Every usable address in the pool is allocated, so newly booting clients get no offer and fall back to APIPA. Existing hosts keep their unexpired leases, which makes the failure look intermittent. Check the excluded-address ranges before widening the subnet.","dhcp","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-16-20260826T143851","2026-08-26T14:38:51","NS-16","auto-grader","Accepted","PC-STAFF-5 has DNS Server 0.0.0.0. The host cannot send a query at all, which is why access by IP address works and access by hostname fails. This is a Layer 7 fault, not a routing fault.","dns","L7","high","PC-STAFF-5 has DNS Server 0.0.0.0. The host cannot send a query at all, which is why access by IP address works and access by hostname fails. This is a Layer 7 fault, not a routing fault.","dns","L7","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-17-20260826T143851","2026-08-26T14:38:51","NS-17","auto-grader","Accepted","The resolver answered authoritatively that reports.lab.local does not exist while other names in the same zone resolve. The zone is missing an A record rather than the client or the transport being broken.","dns","L7","high","The resolver answered authoritatively that reports.lab.local does not exist while other names in the same zone resolve. The zone is missing an A record rather than the client or the transport being broken.","dns","L7","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-18-20260826T143851","2026-08-26T14:38:51","NS-18","auto-grader","Accepted","The routing table reports 'Gateway of last resort is not set' and contains no S* 0.0.0.0/0 entry, so every destination outside the connected subnets is dropped for want of a matching route.","static_routing","L3","high","The routing table reports 'Gateway of last resort is not set' and contains no S* 0.0.0.0/0 entry, so every destination outside the connected subnets is dropped for want of a matching route.","static_routing","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-19-20260826T143851","2026-08-26T14:38:51","NS-19","auto-grader","Accepted","The static route for 192.168.60.0/255.255.255.0 uses next hop 10.0.0.6, which does not fall inside any connected subnet on this router (10.0.0.0/30). The route installs and looks healthy but every packet matching it is black-holed.","static_routing","L3","high","The static route for 192.168.60.0/255.255.255.0 uses next hop 10.0.0.6, which does not fall inside any connected subnet on this router (10.0.0.0/30). The route installs and looks healthy but every packet matching it is black-holed.","static_routing","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-20-20260826T143851","2026-08-26T14:38:51","NS-20","auto-grader","Edited","R1 holds an explicit static route toward the peer LAN, but R4 has only a default route and no specific route back. Return traffic follows the default path instead of the site-to-site link, which breaks sessions at the NAT boundary and produces one-way connectivity.","static_routing","L3","high","R4's routing table contains no entry for 192.168.10.0/24, so replies are handed to the default route via 10.0.0.1 and are treated as internet-bound traffic at the HQ NAT boundary, where the private source is translated and the session breaks. Branch-to-HQ traffic works because R1 does hold a specific route for 192.168.60.0/24.","static_routing","L3","show ip route","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-21-20260826T143851","2026-08-26T14:38:51","NS-21","auto-grader","Accepted","R1 GigabitEthernet0/0.30 (192.168.30.1) is up/up but does not appear in 'show ip ospf interface brief', so no network statement covers it. Its subnet is never advertised and remains invisible to every other router in the area.","ospf","L3","high","R1 GigabitEthernet0/0.30 (192.168.30.1) is up/up but does not appear in 'show ip ospf interface brief', so no network statement covers it. Its subnet is never advertised and remains invisible to every other router in the area.","ospf","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-22-20260826T143851","2026-08-26T14:38:51","NS-22","auto-grader","Accepted","The router logged a mismatched area ID from its neighbour. Both ends of a link must agree on the area before an adjacency can form, so hellos are discarded.","ospf","L3","high","The router logged a mismatched area ID from its neighbour. Both ends of a link must agree on the area before an adjacency can form, so hellos are discarded.","ospf","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-23-20260826T143851","2026-08-26T14:38:51","NS-23","auto-grader","Accepted","An OSPF-enabled transit interface reports 'No Hellos (Passive interface)'. A passive interface never sends hellos, so no adjacency can form across it. This is usually 'passive-interface default' applied without exempting the link.","ospf","L3","high","An OSPF-enabled transit interface reports 'No Hellos (Passive interface)'. A passive interface never sends hellos, so no adjacency can form across it. This is usually 'passive-interface default' applied without exempting the link.","ospf","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-24-20260826T143851","2026-08-26T14:38:51","NS-24","auto-grader","Accepted","'show ip nat statistics' on R1 lists no inside and no outside interface, so the NAT rule never fires. Private source addresses leave the router untranslated and are dropped upstream. The router's own traffic still works because it sources from the routable outside address.","nat","L3","high","'show ip nat statistics' on R1 lists no inside and no outside interface, so the NAT rule never fires. Private source addresses leave the router untranslated and are dropped upstream. The router's own traffic still works because it sources from the routable outside address.","nat","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-25-20260826T143851","2026-08-26T14:38:51","NS-25","auto-grader","Accepted","R1 GigabitEthernet0/0.50 serves 192.168.50.1, but ACL NAT-LAN used by 'ip nat inside source' permits only 192.168.10.0/24, 192.168.20.0/24. Traffic from that subnet is routed but never translated, so it leaves with a private source and the replies never return.","nat","L3","high","R1 GigabitEthernet0/0.50 serves 192.168.50.1, but ACL NAT-LAN used by 'ip nat inside source' permits only 192.168.10.0/24, 192.168.20.0/24. Traffic from that subnet is routed but never translated, so it leaves with a private source and the replies never return.","nat","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-26-20260826T143851","2026-08-26T14:38:51","NS-26","auto-grader","Accepted","The NAT pool is fully allocated and the mapping has no 'overload' keyword, so each inside host consumes an entire public address one-to-one. Once the pool is used up every further host is denied a translation. PAT (overload) lets all hosts share one address by port.","nat","L3","high","The NAT pool is fully allocated and the mapping has no 'overload' keyword, so each inside host consumes an entire public address one-to-one. Once the pool is used up every further host is denied a translation. PAT (overload) lets all hosts share one address by port.","nat","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-27-20260826T143851","2026-08-26T14:38:51","NS-27","auto-grader","Edited","ACL 110 is actively dropping traffic: 'ip any any' has 2841 matches. Meanwhile 1 permit entry has zero matches, which means the traffic users expect to be allowed is not even reaching the permit lines — the ACL is applied to the wrong interface or direction, or a required protocol (DNS on UDP 53, ICMP, return traffic) was never permitted.","acl","L4","high","The ACL sits inbound on Gi0/1 where it inspects every packet leaving VLAN 20. Line 10 permits only TCP port 80 and shows zero matches, while the implicit-style 'deny ip any any' has 2841 matches, catching ICMP, DNS and all other traffic. Gateway pings still work because they terminate on the interface itself.","acl","L4","show access-lists","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-28-20260826T143851","2026-08-26T14:38:51","NS-28","auto-grader","Edited","ACL 120 is actively dropping traffic: 'ip any any' has 874 matches.","acl","L4","high","The ACL permits HTTP, HTTPS and ICMP only. DNS queries use UDP 53 and fall through to 'deny ip any any', which has 874 matches. ICMP is explicitly permitted, which is exactly why ping to the DNS server succeeds and creates the misleading impression that the server is reachable and healthy.","acl","L4","show access-lists 120","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-29-20260826T143851","2026-08-26T14:38:51","NS-29","auto-grader","Edited","The access point and the client are configured with different SSID strings (CORP-WIFI, CORP_WIFI). SSIDs are case- and character-exact, so a hyphen versus underscore is enough to prevent association.","wireless","L2","high","The AP advertises 'CORP-WIFI' with passphrase Net$age2026! while the laptop is configured for 'CORP_WIFI' with Net$age2025!. Both the SSID separator and the passphrase year differ, so the four-way handshake fails, no client associates, and the laptop never gets as far as DHCP, which is why it self-assigns an APIPA address.","wireless","L2","show wireless clients","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-30-20260826T143851","2026-08-26T14:38:51","NS-30","auto-grader","Rejected","ACL GUEST-ISOLATION exists with 3 entries, every one showing zero matches, and the interface reports no inbound or outbound access list. The policy was configured but never bound with 'ip access-group', so routing forwards the traffic the ACL was meant to stop. This is a security control failure rather than a connectivity fault.","acl","L4","high","All three ACEs show zero matches and 'show ip interface Gi0/1' reports no inbound or outbound access list, which proves the policy was written but never bound. Inter-VLAN routing then does exactly what it is designed to do and forwards guest traffic to the server farm. This is a security control failure, not a connectivity fault.","wireless","L4","show ip interface GigabitEthernet0/1 | include access list","Auto-graded: the AI identified the wrong subsystem. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
