"case_id","provider","model","latency_ms","ai_root_cause","ai_confidence","ai_osi_layer","ai_concept_tag","ai_next_command","ai_severity","ai_evidence","ai_fix_steps","ai_risk_note","rule_findings","rule_finding_count","expected_fault","expected_concept_tag","expected_osi_layer","concept_correct","layer_correct","evidence_grounded","ai_correct","keyword_overlap","parse_repaired","fell_back_to_mock","error"
"NS-15","mock","netsage-heuristic-v1","0","Every usable address in the pool is allocated, so newly booting clients get no offer and fall back to APIPA. Existing hosts keep their unexpired leases, which makes the failure look intermittent. Check the excluded-address ranges before widening the subnet.","high","L3","dhcp","show ip dhcp pool","High","Total addresses                : 254 || Leased addresses               : 54 || Excluded addresses             : 200 || IP Address......................: 169.254.88.12","conf t | Narrow the excluded-address range to only the static infrastructure | end | Verify: show ip dhcp pool reports free addresses and a new client gets a lease","Clearing bindings forces every client to renew at once; expect a short burst of DHCP traffic and some brief client interruptions.","APIPA_ADDRESS ; DHCP_POOL_EXHAUSTED","2","DHCP pool LAB40 is exhausted: only 54 usable addresses remain after a 200-address exclusion","dhcp","L3","True","True","True","True","0.425","False","False",""
"NS-16","mock","netsage-heuristic-v1","0","PC-STAFF-5 has DNS Server 0.0.0.0. The host cannot send a query at all, which is why access by IP address works and access by hostname fails. This is a Layer 7 fault, not a routing fault.","high","L7","dns","ipconfig /all","Medium","DNS Server......................: 0.0.0.0","Open the host's IP configuration | Set the DNS server address | Verify: nslookup resolves a known hostname and browsing by name works","Changing zone records can be cached by clients; flush the resolver cache before concluding the fix did not work.","DNS_NOT_CONFIGURED","1","No DNS server configured on the client (DNS Server is 0.0.0.0)","dns","L7","True","True","True","True","0.3","False","False",""
"NS-17","mock","netsage-heuristic-v1","0","The resolver answered authoritatively that reports.lab.local does not exist while other names in the same zone resolve. The zone is missing an A record rather than the client or the transport being broken.","high","L7","dns","nslookup <hostname>","Medium","*** 192.168.100.53 can't find reports.lab.local: Non-existent domain","Open the DNS server's record table | Add the missing A record with the correct address | Save the zone | Verify: nslookup returns the address from every VLAN","Changing zone records can be cached by clients; flush the resolver cache before concluding the fix did not work.","DNS_RECORD_MISSING","1","The A record for reports.lab.local was never created on DNS-SRV","dns","L7","True","True","True","True","0.481","False","False",""
"NS-18","mock","netsage-heuristic-v1","0","The routing table reports 'Gateway of last resort is not set' and contains no S* 0.0.0.0/0 entry, so every destination outside the connected subnets is dropped for want of a matching route.","high","L3","static_routing","show ip route","Critical","Gateway of last resort is not set","conf t | ip route 0.0.0.0 0.0.0.0 <isp-next-hop> | end | Verify: show ip route shows the gateway of last resort and the router pings an internet address","A default route alone does not provide internet access without NAT. Check both before declaring the fault fixed.","NO_DEFAULT_ROUTE","1","No default route configured on the edge router R1","static_routing","L3","True","True","True","True","0.333","False","False",""
"NS-19","mock","netsage-heuristic-v1","0","The static route for 192.168.60.0/255.255.255.0 uses next hop 10.0.0.6, which does not fall inside any connected subnet on this router (10.0.0.0/30). The route installs and looks healthy but every packet matching it is black-holed.","high","L3","static_routing","show ip route","High","ip route 192.168.60.0 255.255.255.0 10.0.0.6 || C       10.0.0.0/30 is directly connected, GigabitEthernet0/2","conf t | no ip route <dest> <mask> <wrong-next-hop> | ip route <dest> <mask> <correct-next-hop> | end | Verify: show ip route lists the corrected next hop and the destination replies","A default route alone does not provide internet access without NAT. Check both before declaring the fault fixed.","NEXT_HOP_UNREACHABLE","1","Static route points to the wrong next hop 10.0.0.6, which does not exist on the 10.0.0.0/30 link","static_routing","L3","True","True","True","True","0.324","False","False",""
"NS-20","mock","netsage-heuristic-v1","0","R1 holds an explicit static route toward the peer LAN, but R4 has only a default route and no specific route back. Return traffic follows the default path instead of the site-to-site link, which breaks sessions at the NAT boundary and produces one-way connectivity.","high","L3","static_routing","show ip route","Medium","S    192.168.60.0/24 [1/0] via 10.0.0.2 || S*   0.0.0.0/0 [1/0] via 10.0.0.1","conf t | ip route <peer-subnet> <mask> <link-next-hop> | end | Verify: show ip route holds an explicit route and traffic flows in both directions","A default route alone does not provide internet access without NAT. Check both before declaring the fault fixed.","MISSING_RETURN_ROUTE","1","R4 is missing explicit return routes for the HQ subnets and falls back to its default route","static_routing","L3","True","True","True","True","0.216","False","False",""
"NS-21","mock","netsage-heuristic-v1","0","R1 GigabitEthernet0/0.30 (192.168.30.1) is up/up but does not appear in 'show ip ospf interface brief', so no network statement covers it. Its subnet is never advertised and remains invisible to every other router in the area.","high","L3","ospf","show ip ospf interface brief","High","GigabitEthernet0/0.30      192.168.30.1    YES manual up                    up","conf t | router ospf 1 | network <subnet> <wildcard> area <area> | end | Verify: the interface appears in show ip ospf interface brief and the peer learns the route","Removing a network statement withdraws the route from every router in the area. Re-add before removing, and watch for a transient reconvergence.","OSPF_MISSING_NETWORK","1","OSPF is missing a network statement for 192.168.30.0/24 on R1","ospf","L3","True","True","True","True","0.391","False","False",""
"NS-22","mock","netsage-heuristic-v1","0","The router logged a mismatched area ID from its neighbour. Both ends of a link must agree on the area before an adjacency can form, so hellos are discarded.","high","L3","ospf","show ip ospf interface","High","%OSPF-4-ERRRCV: Received invalid packet: mismatched area ID from backbone area, from 10.0.0.6, GigabitEthernet0/3 || R2# show ip ospf neighbor","conf t | router ospf 1 | no network <link> <wildcard> area <wrong> | network <link> <wildcard> area <correct> | end | Verify: show ip ospf neighbor reports the peer in FULL state","Removing a network statement withdraws the route from every router in the area. Re-add before removing, and watch for a transient reconvergence.","OSPF_AREA_MISMATCH ; OSPF_NO_NEIGHBORS","2","OSPF area mismatch on the R2-R3 link: area 0 on R2 versus area 1 on R3","ospf","L3","True","True","True","True","0.345","False","False",""
"NS-23","mock","netsage-heuristic-v1","0","An OSPF-enabled transit interface reports 'No Hellos (Passive interface)'. A passive interface never sends hellos, so no adjacency can form across it. This is usually 'passive-interface default' applied without exempting the link.","high","L3","ospf","show ip ospf interface","High","No Hellos (Passive interface) || R1# show ip ospf neighbor","conf t | router ospf 1 | no passive-interface <transit-interface> | end | Verify: show ip ospf neighbor reports the peer in FULL state","Removing a network statement withdraws the route from every router in the area. Re-add before removing, and watch for a transient reconvergence.","OSPF_PASSIVE_TRANSIT ; OSPF_NO_NEIGHBORS","2","The transit interface Gi0/2 was left passive by 'passive-interface default', suppressing OSPF hellos","ospf","L3","True","True","True","True","0.407","False","False",""
"NS-24","mock","netsage-heuristic-v1","0","'show ip nat statistics' on R1 lists no inside and no outside interface, so the NAT rule never fires. Private source addresses leave the router untranslated and are dropped upstream. The router's own traffic still works because it sources from the routable outside address.","high","L3","nat","show ip nat statistics","Critical","Total translations: 0 (0 static, 0 dynamic, 0 extended) || Outside interfaces: || Inside interfaces:","conf t | interface <lan-interface> | ip nat inside | interface <wan-interface> | ip nat outside | end | Verify: show ip nat statistics lists both interfaces and translations appear","Clearing the translation table drops every active session through the router.","NAT_INTERFACES_MISSING","1","The 'ip nat inside' and 'ip nat outside' interface commands are missing","nat","L3","True","True","True","True","0.806","False","False",""
"NS-25","mock","netsage-heuristic-v1","0","R1 GigabitEthernet0/0.50 serves 192.168.50.1, but ACL NAT-LAN used by 'ip nat inside source' permits only 192.168.10.0/24, 192.168.20.0/24. Traffic from that subnet is routed but never translated, so it leaves with a private source and the replies never return.","high","L3","nat","show running-config | section nat","High","GigabitEthernet0/0.50      192.168.50.1    YES manual up                    up || ip nat inside source list NAT-LAN interface GigabitEthernet0/1 overload || permit 192.168.10.0 0.0.0.255","conf t | ip access-list standard <nat-acl> | permit <missing-subnet> <wildcard> | end | clear ip nat translation * | Verify: hosts in that subnet reach the internet and appear in show ip nat translations","Clearing the translation table drops every active session through the router.","NAT_ACL_NOT_COVERING_LAN","1","The NAT ACL NAT-LAN does not permit 192.168.50.0/24","nat","L3","True","True","True","True","0.312","False","False",""
"NS-26","mock","netsage-heuristic-v1","0","The NAT pool is fully allocated and the mapping has no 'overload' keyword, so each inside host consumes an entire public address one-to-one. Once the pool is used up every further host is denied a translation. PAT (overload) lets all hosts share one address by port.","high","L3","nat","show ip nat statistics","High","ip nat inside source list NAT-LAN pool PUBLIC-POOL || type generic, total addresses 8, allocated 8 (100%), misses 1276 || %IPNAT-4-ADDR_ALLOC_FAILURE: Address allocation failed for 192.168.10.42, pool PUBLIC-POOL might be exhausted","conf t | no ip nat inside source list <acl> pool <pool> | ip nat inside source list <acl> pool <pool> overload | end | clear ip nat translation * | Verify: show ip nat statistics shows extended translations and misses stop rising","Clearing the translation table drops every active session through the router.","NAT_POOL_EXHAUSTED","1","Dynamic NAT pool exhausted: eight public addresses shared one-to-one by sixty hosts, missing the 'overload' keyword","nat","L3","True","True","True","True","0.366","False","False",""
"NS-27","mock","netsage-heuristic-v1","0","ACL 110 is actively dropping traffic: 'ip any any' has 2841 matches. Meanwhile 1 permit entry has zero matches, which means the traffic users expect to be allowed is not even reaching the permit lines — the ACL is applied to the wrong interface or direction, or a required protocol (DNS on UDP 53, ICMP, return traffic) was never permitted.","high","L4","acl","show access-lists","High","20 deny ip any any (2841 matches) || 10 permit tcp 192.168.20.0 0.0.0.255 10.10.50.0 0.0.0.255 eq www (0 matches)","Identify the traffic being denied from the match counters | Add the required permit entries above the deny, or move the ACL to the correct interface/direction | Verify: the permit counters rise, the deny counter stops rising, and the application works","Do not remove an ACL to test connectivity on a live segment. Add a temporary permit with logging instead, and remove it once the test is done.","ACL_DENY_HITS","1","ACL 110 is applied inbound on the wrong interface, so it filters all traffic entering from VLAN 20 rather than only traffic destined to the server farm","acl","L4","True","True","True","True","0.234","False","False",""
"NS-28","mock","netsage-heuristic-v1","0","ACL 120 is actively dropping traffic: 'ip any any' has 874 matches.","high","L4","acl","show access-lists","High","40 deny ip any any (874 matches)","Identify the traffic being denied from the match counters | Add the required permit entries above the deny, or move the ACL to the correct interface/direction | Verify: the permit counters rise, the deny counter stops rising, and the application works","Do not remove an ACL to test connectivity on a live segment. Add a temporary permit with logging instead, and remove it once the test is done.","ACL_DENY_HITS","1","ACL 120 has no permit entry for DNS (UDP/TCP port 53), so the implicit deny drops all lookups","acl","L4","True","True","True","True","0.114","False","False",""
"NS-29","mock","netsage-heuristic-v1","0","The access point and the client are configured with different SSID strings (CORP-WIFI, CORP_WIFI). SSIDs are case- and character-exact, so a hyphen versus underscore is enough to prevent association.","high","L2","wireless","show wireless summary","High","SSID            : CORP-WIFI || SSID configured................: CORP_WIFI || IP Address......................: 169.254.44.9 || Passphrase      : Net$age2026!","Open the client's wireless profile | Set the SSID to exactly match the AP, character for character | Reconnect | Verify: the AP shows the station associated and the client receives a DHCP address","Changing the SSID or passphrase disconnects every client on that WLAN, including any that are currently working.","APIPA_ADDRESS ; WIFI_SSID_MISMATCH ; WIFI_PSK_MISMATCH","3","SSID string and WPA2 passphrase mismatch between the access point and the client","wireless","L2","True","True","True","True","0.222","False","False",""
"NS-30","mock","netsage-heuristic-v1","0","ACL GUEST-ISOLATION exists with 3 entries, every one showing zero matches, and the interface reports no inbound or outbound access list. The policy was configured but never bound with 'ip access-group', so routing forwards the traffic the ACL was meant to stop. This is a security control failure rather than a connectivity fault.","high","L4","acl","show ip interface | include access list","Critical","10 deny ip 192.168.20.0 0.0.0.255 10.10.50.0 0.0.0.255 (0 matches) || Inbound  access list is not set || Outgoing access list is not set","conf t | interface <boundary-interface> | ip access-group <acl-name> in | end | Verify: show ip interface reports the ACL bound and the deny counters begin to increment","Do not remove an ACL to test connectivity on a live segment. Add a temporary permit with logging instead, and remove it once the test is done.","ACL_DEFINED_NOT_APPLIED","1","The GUEST-ISOLATION ACL exists but is not applied to any interface, so guest traffic is routed freely into the internal VLANs","wireless","L4","False","True","True","False","0.488","False","False",""
